name,longitude,latitude,uber_count,avg_price,adj_pop
Allerton,-73.85931863221647,40.86578787802982,860.0,1.5,28707.0
Annadale,-74.17854866165878,40.53811417474507,11.0,1.75,27073.0
Arden Heights,-74.18588674583894,40.54928582278321,10.0,1.7,25117.0
Arlington,-74.16510420241123,40.63532509911492,0.0,1.55,29715.0
Arrochar,-74.06712363225573,40.596312571276734,145.0,1.75,15659.0
Arverne,-73.79199233136944,40.58914394372971,241.0,1.8,34264.0
Astoria,-73.91565374304234,40.76850859335492,18384.0,1.8,83957.0
Astoria Heights,-73.89467996270574,40.7703173929982,97.0,1.5,28331.0
Auburndale,-73.79176243728061,40.761729549032616,647.0,1.7,20098.0
Bath Beach,-73.99875221443519,40.59951870282239,1629.0,1.35,29252.0
Battery Park City,-74.01686930508617,40.71193198394565,30045.0,1.9,29894.0
Bay Ridge,-74.03062069353813,40.625801065010656,7586.0,1.85,79956.0
Bay Terrace,-73.7768022262158,40.78284280624555,685.0,1.7,22242.0
Baychester,-73.83579759808117,40.866858107252696,0.0,1.6,34969.0
Bayside,-73.77427363068671,40.76604063281064,1964.0,1.9,44090.0
Bayswater,-73.76596781445626,40.61132169128385,0.0,1.35,49201.0
Bedford Park,-73.8855121841913,40.870185164975325,18904.0,1.35,54872.0
Bedford Stuyvesant,-73.94178488690297,40.68723160772045,0.0,1.9,64970.0
Beechhurst,-73.80436451720988,40.79278140360048,0.0,1.65,19559.0
Bellaire,-73.73889198912481,40.73301404027834,0.0,1.55,25193.0
Belle Harbor,-73.8540175039252,40.576155565431094,0.0,1.8,27365.0
Bellerose,-73.72012814826904,40.72857318176675,713.0,1.5,24876.0
Belmont,-73.88845196134805,40.85727710073896,1692.0,1.65,26673.0
Bensonhurst,-73.99517998380729,40.61100890202044,4115.0,1.55,147456.0
Bergen Beach,-73.89855633630317,40.615149550453076,0.0,1.8,44086.0
Blissville,-73.93244235260178,40.73725071694497,0.0,1.65,475.0
Bloomfield,-74.18725638381567,40.60577868452358,195.0,1.45,39452.0
Boerum Hill,-73.98374824115798,40.68568291209144,13985.0,1.75,32672.0
Borough Park,-73.99049823044811,40.633130512758015,3653.0,1.65,103706.0
Breezy Point,-73.92551196994168,40.55740128845452,42.0,1.8,27365.0
Briarwood,-73.81174822458634,40.71093547252271,2339.0,1.3,38907.0
Brighton Beach,-73.96509448785335,40.57682506566604,1000.0,1.55,35396.0
Broad Channel,-73.8200548911032,40.60302658351238,13.0,1.6,27365.0
Broadway Junction,-73.90331684852598,40.67786104769531,0.0,1.5,0.0
Bronxdale,-73.86172577555115,40.85272297633017,920.0,1.65,34923.0
Brooklyn Heights,-73.99378225496423,40.69586372272408,15627.0,1.8,22718.0
Brookville,-73.75175310731153,40.660003227336134,0.0,1.35,19541.0
Brownsville,-73.91023536176606,40.66394994339755,2230.0,1.5,58700.0
Bulls Head,-74.15940948657122,40.6095918004203,0.0,1.6,19826.0
Bushwick,-73.92525797487045,40.69811611017901,39318.0,1.6,124973.0
Butler Manor,-74.22950350260027,40.50608165346305,0.0,1.95,1220.0
Cambria Heights,-73.73526873708028,40.69277463916085,516.0,1.45,19810.0
Canarsie,-73.90209269778966,40.63556432797428,3680.0,1.4,84375.0
Carnegie Hill,-73.95325646837112,40.782682567125704,0.0,1.85,62436.0
Carroll Gardens,-73.99465372828006,40.68054023107649,8554.0,1.9,38340.0
Castle Hill,-73.84802729582734,40.81901437698832,1045.0,1.6,52219.0
Castleton Corners,-74.11918058534843,40.61333593766742,0.0,1.65,13595.0
Central Harlem,-73.94321112603905,40.81597606742414,26096.0,1.9,113879.0
Charleston,-74.23215775896526,40.53053148283314,8.0,1.85,20822.0
Chelsea,-74.18956045519691,40.59472602746296,114927.0,1.7,62995.0
Chinatown,-73.99427936255978,40.71561842231432,8706.0,1.35,50110.0
City Island,-73.78648845267412,40.847246704918135,85.0,2.05,26862.0
City Line,-73.86797598081334,40.67856995727479,0.0,1.25,49092.0
Civic Center,-74.00541529873355,40.71522892046282,77462.0,1.4,39749.0
Claremont Village,-73.90119903387668,40.83142834161548,920.0,1.5,29613.0
Clason Point,-73.85414416189265,40.80655112003589,0.0,1.45,52219.0
Clifton,-74.072642445484,40.61917845202843,113.0,1.85,21147.0
Clinton,-73.99611936309479,40.75910089146212,83668.0,1.8,43240.0
Clinton Hill,-73.96784306216367,40.69322942188151,17756.0,1.75,34042.0
Co-op City,-73.829939108124,40.87429419303012,930.0,1.6,84428.0
Cobble Hill,-73.99856139218463,40.687919722485574,4989.0,2.05,22718.0
College Point,-73.84304528896125,40.78490274926021,799.0,1.8,22842.0
Concord,-74.08402364740357,40.6044731896879,0.0,1.7,10258.0
Concourse,-73.91558941773444,40.83428380733851,5401.0,1.5,100041.0
Concourse Village,-73.91584652759009,40.824780490842905,1864.0,1.5,60622.0
Coney Island,-73.98868295821637,40.57429256471601,1659.0,1.4,33116.0
Corona,-73.85682497345258,40.74238175015667,2098.0,1.45,54870.0
Country Club,-73.8240992675385,40.844245936947374,119.0,1.6,26862.0
Crown Heights,-73.94329119073582,40.67082917695294,28666.0,1.7,144335.0
Cypress Hills,-73.87661596457295,40.68239101144211,1373.0,1.15,49092.0
Ditmas Park,-73.9610131246678,40.64367518334098,9858.0,1.8,3058.0
Dongan Hills,-74.0963990531252,40.58867294819928,157.0,1.8,23926.0
Douglaston,-73.74249820727329,40.76684609790763,645.0,1.85,24548.0
Downtown,-73.98346337431099,40.69084402109802,11381.0,1.5,32672.0
Dumbo,-73.98875280745041,40.70317632822693,10350.0,1.95,32672.0
Dyker Heights,-74.01931375636022,40.61921945772264,2060.0,1.65,40876.0
East Elmhurst,-73.86704147658772,40.7640732388309,2942.0,1.3,22167.0
East Flatbush,-73.93610256185836,40.64171776668961,5816.0,1.7,53194.0
East Harlem,-73.94418223148523,40.79224946663033,22724.0,1.5,114985.0
East New York,-73.88069863917366,40.669925700847045,4505.0,1.5,116101.0
East Tremont,-73.88735617532338,40.84269615786053,1155.0,1.5,41352.0
East Village,-73.98222616506415,40.727846777270244,75598.0,1.85,42941.0
East Williamsburg,-73.93885815269195,40.70849241041548,23267.0,1.75,33018.0
Eastchester,-73.82780644716412,40.887555677350775,677.0,1.35,34969.0
Edenwald,-73.84808271877169,40.884561303037316,0.0,1.55,34969.0
Edgemere,-73.77613282391705,40.595641807368494,0.0,1.5,34264.0
Edgewater Park,-73.81388514428619,40.82198611816349,1020.0,1.7,43940.0
Egbertville,-74.12727240604946,40.57911874296122,0.0,1.85,0.0
Elm Park,-74.1418167896889,40.630146741193826,0.0,1.5,28026.0
Elmhurst,-73.88165622288388,40.74404850512202,7036.0,1.45,113129.0
Eltingville,-74.1643308041936,40.542230747450745,11.0,1.8,27073.0
Emerson Hill,-74.09776206972522,40.606794394801,195.0,1.8,30738.0
Erasmus,-73.94817709920184,40.64692606658579,2253.0,1.75,30665.0
Far Rockaway,-73.75497968043872,40.603134432500894,130.0,1.65,49201.0
Fieldston,-73.90564259591682,40.89543742690383,3070.0,1.75,27936.0
Financial District,-74.01066544521271,40.707107107270474,42180.0,1.7,61000.0
Flatbush,-73.95840106533903,40.63632589026677,9858.0,1.85,108340.0
Flatiron,-73.99094710528259,40.73967304763842,42133.0,1.85,62995.0
Flatlands,-73.92911302644673,40.630446043757466,3567.0,1.8,65744.0
Floral Park,-73.70884705889245,40.74137842194544,0.0,1.5,22499.0
Flushing,-73.83177300329581,40.76445419697846,5072.0,1.8,130318.0
Fordham,-73.89642655981623,40.86099679638654,625.0,1.4,82443.0
Forest Hills,-73.84447500788983,40.72526378216503,8968.0,1.95,84387.0
Forest Hills Gardens,-73.8410221123401,40.714611081511705,153.0,2.0,0.0
Fort Greene,-73.97290574369092,40.68852726018977,15427.0,1.9,27208.0
Fort Hamilton,-74.03197914537985,40.61476812694226,0.0,1.8,413.0
Fox Hills,-74.08173992211962,40.61731079252983,0.0,1.6,21147.0
Fresh Meadows,-73.78271337003264,40.7343944653313,916.0,1.7,17592.0
Fulton Ferry,-73.99550751888415,40.70328109093014,0.0,1.9,3733.0
Georgetown,-73.91607483951323,40.623845244784185,0.0,1.75,44086.0
Gerritsen Beach,-73.93010170691196,40.590848433902046,0.0,1.65,64557.0
Glen Oaks,-73.71548118999145,40.74944079974332,426.0,1.8,22499.0
Glendale,-73.87074167435605,40.70276242967838,1982.0,1.65,31784.0
Gowanus,-73.99444087145339,40.67393114318715,7860.0,1.85,67456.0
Gramercy,-73.98137594833541,40.737209832715,47060.0,1.65,27086.0
Graniteville,-74.15315246387762,40.62017151223189,0.0,1.55,29715.0
Grant City,-74.10585598545434,40.57621558711788,0.0,1.85,14020.0
Grasmere,-74.0766743627905,40.598268359599906,0.0,1.85,15659.0
Gravesend,-73.97347087708445,40.59526001306593,883.0,1.5,29346.0
Great Kills,-74.14932381490992,40.549480228713605,26.0,1.9,41200.0
Greenpoint,-73.95424093127394,40.7302009848647,27573.0,1.8,36270.0
Greenridge,-74.17079414786092,40.55529523617321,0.0,1.8,1071.0
Greenwich Village,-73.99991402945902,40.72693288536128,78811.0,1.6,22116.0
