Neighborhood,Borough,Median Sale Price
Middle Village,Queens,"$747,000 "
Midland Beach,Staten Island,"$556,982 "
Midwood,Brooklyn,"$810,000 "
Mill Basin,Brooklyn,"$710,000 "
Morningside Heights,Manhattan,"$670,000 "
Morris Heights,Bronx,"$900,000 "
Morris Park,Bronx,"$611,000 "
Morrisania,Bronx,"$345,000 "
Mott Haven,Bronx,"$337,500 "
Mount Eden,Bronx,"$535,000 "
Mount Hope,Bronx,"$150,000 "
Murray Hill,Manhattan,"$750,000 "
Murray Hill,Queens,"$497,500 "
Neponsit,Queens,"$1,367,500 "
New Brighton,Staten Island,"$590,000 "
New Dorp,Staten Island,"$695,250 "
New Dorp Beach,Staten Island,"$525,000 "
New Springville,Staten Island,"$562,000 "
NoHo,Manhattan,"$1,935,000 "
NoLIta,Manhattan,"$2,647,450 "
NoMad,Manhattan,"$1,623,500 "
North Riverdale,Bronx,"$309,000 "
Norwood,Bronx,"$205,000 "
Oakland Gardens,Queens,"$322,000 "
Oakwood,Staten Island,"$637,000 "
Ocean Hill,Brooklyn,"$414,445 "
Old Astoria,Queens,"$585,982 "
Old Howard Beach,Queens,"$715,000 "
Old Mill Basin,Brooklyn,"$613,750 "
Olinville,Bronx,"$297,500 "
Ozone Park,Queens,"$607,500 "
Park Hill,Staten Island,"$370,750 "
Park Slope,Brooklyn,"$1,036,000 "
Park Versailles - Bronx River,Bronx,"$180,000 "
Parkchester,Bronx,"$186,000 "
Pelham Bay,Bronx,"$420,000 "
Pelham Bay Park,Bronx,"$1,162,000 "
Pelham Gardens,Bronx,"$652,000 "
Pleasant Plains,Staten Island,"$544,000 "
Pomonok,Queens,"$712,000 "
Port Ivory - Howland Hook,Staten Island,"$415,000 "
Port Morris,Bronx,"$875,000 "
Port Richmond,Staten Island,"$544,950 "
Prince's Bay,Staten Island,"$831,343 "
Prospect - Lefferts Gardens,Brooklyn,"$834,981 "
Prospect Heights,Brooklyn,"$895,000 "
Prospect Park South,Brooklyn,"$725,000 "
Queens Village,Queens,"$600,000 "
Queensboro Hill,Queens,"$863,000 "
Ramblersville,Queens,"$380,000 "
Randall Manor,Staten Island,"$539,000 "
Red Hook,Brooklyn,"$988,385 "
Rego Park,Queens,"$350,000 "
Richmond Hill,Queens,"$585,000 "
Richmond Town,Staten Island,"$490,000 "
Richmond Valley,Staten Island,"$794,500 "
Ridgewood,Queens,"$782,500 "
Riverdale,Bronx,"$335,000 "
Rochdale,Queens,"$492,000 "
Rockaway Beach,Queens,"$467,500 "
Rockaway Park,Queens,"$349,000 "
Rockwood Park,Queens,"$800,000 "
Roosevelt Island,Manhattan,"$676,551 "
Rosebank,Staten Island,"$590,500 "
Rosedale,Queens,"$579,500 "
Rossville,Staten Island,"$430,000 "
Roxbury,Queens,"$420,000 "
Saint Albans,Queens,"$530,000 "
Sea Gate,Brooklyn,"$640,000 "
Seaside,Queens,"$547,500 "
Sheepshead Bay,Brooklyn,"$415,000 "
SoHo,Manhattan,"$3,250,000 "
Soundview,Bronx,"$345,331 "
South Astoria,Queens,"$755,000 "
South Beach,Staten Island,"$572,000 "
South Ozone Park,Queens,"$574,000 "
Spencer Estates - Country Club,Bronx,"$645,000 "
Springfield Gardens,Queens,"$549,000 "
Spuyten Duyvil,Bronx,"$275,000 "
St. George,Staten Island,"$565,000 "
Stapleton,Staten Island,"$445,000 "
Sunnyside,Staten Island,"$437,500 "
Sunnyside,Queens,"$405,000 "
Sunnyside Gardens,Queens,"$437,191 "
Sunset Park,Brooklyn,"$550,000 "
Sutton Place,Manhattan,"$803,750 "
The Tides at Charleston,Staten Island,"$775,000 "
Theatre District - Times Square,Manhattan,"$997,500 "
Throggs Neck,Bronx,"$542,500 "
Todt Hill,Staten Island,"$835,000 "
Tottenville,Staten Island,"$733,500 "
Tremont,Bronx,"$50,000 "
TriBeCa,Manhattan,"$3,550,000 "
Tudor City,Manhattan,"$492,500 "
Turtle Bay,Manhattan,"$820,000 "
Two Bridges,Manhattan,"$1,225,900 "
Unionport,Bronx,"$515,000 "
University Heights,Bronx,"$469,000 "
Upper West Side,Manhattan,"$1,100,000 "
Van Nest,Bronx,"$500,000 "
Vinegar Hill,Brooklyn,"$810,000 "
Wakefield,Bronx,"$518,000 "
Washington Heights,Manhattan,"$590,000 "
West Brighton,Staten Island,"$525,000 "
West Farms,Bronx,"$240,000 "
West Village,Manhattan,"$1,312,500 "
Westchester Village,Bronx,"$610,000 "
Westerleigh,Staten Island,"$549,000 "
Whitestone,Queens,"$660,000 "
Williamsbridge,Bronx,"$482,500 "
Williamsburg,Brooklyn,"$953,354 "
Willowbrook,Staten Island,"$524,000 "
Windsor Terrace,Brooklyn,"$795,000 "
Wingate,Brooklyn,"$616,041 "
Woodhaven,Queens,"$580,000 "
Woodlawn,Bronx,"$195,000 "
Woodrow,Staten Island,"$795,000 "
Woodside,Queens,"$371,000 "
Woodstock,Bronx,"$351,500 "
Yorkville,Manhattan,"$824,000 "
