name,longitude,latitude,uber_count,avg_price,adj_pop,median_daily_test_rate,avg_test_score
Allerton,-73.85931863221647,40.86578787802982,860.0,1.5,28707.0,511.5,27.25998289
Annadale,-74.17854866165878,40.53811417474507,11.0,1.75,27073.0,263.7,45.01185556297253
Arden Heights,-74.18588674583894,40.54928582278321,10.0,1.7,25117.0,482.5,44.12198505395968
Arlington,-74.16510420241123,40.63532509911492,0.0,1.55,29715.0,482.5,38.728528653008816
Arrochar,-74.06712363225573,40.596312571276734,145.0,1.75,15659.0,317.3,48.4409160152108
Arverne,-73.79199233136944,40.58914394372971,241.0,1.8,34264.0,447.7,24.958592388229214
Astoria,-73.91565374304234,40.76850859335492,18384.0,1.8,83957.0,1655.3000000000002,39.51345877
Astoria Heights,-73.89467996270574,40.7703173929982,97.0,1.5,28331.0,482.5,37.98657520874636
Auburndale,-73.79176243728061,40.761729549032616,647.0,1.7,20098.0,380.3,53.16248418005229
Bath Beach,-73.99875221443519,40.59951870282239,1629.0,1.35,29252.0,388.2,46.14276887
Battery Park City,-74.01686930508617,40.71193198394565,30045.0,1.9,29894.0,830.8,46.84953966862075
Bay Ridge,-74.03062069353813,40.625801065010656,7586.0,1.85,79956.0,285.9,56.5072858
Bay Terrace,-73.7768022262158,40.78284280624555,685.0,1.7,22242.0,482.5,45.043377178539025
Baychester,-73.83579759808117,40.866858107252696,0.0,1.6,34969.0,261.6,35.927255512024594
Bayside,-73.77427363068671,40.76604063281064,1964.0,1.9,44090.0,759.3,47.06106613
Bayswater,-73.76596781445626,40.61132169128385,0.0,1.35,49201.0,482.5,24.0766026065738
Bedford Park,-73.8855121841913,40.870185164975325,18904.0,1.35,54872.0,1179.1000000000001,33.38601615879349
Bedford Stuyvesant,-73.94178488690297,40.68723160772045,0.0,1.9,64970.0,482.5,29.02899892
Beechhurst,-73.80436451720988,40.79278140360048,0.0,1.65,19559.0,482.5,50.126609969584244
Bellaire,-73.73889198912481,40.73301404027834,0.0,1.55,25193.0,482.5,50.66422901036276
Belle Harbor,-73.8540175039252,40.576155565431094,0.0,1.8,27365.0,192.5,46.98597889182282
Bellerose,-73.72012814826904,40.72857318176675,713.0,1.5,24876.0,605.8,50.1315233
Belmont,-73.88845196134805,40.85727710073896,1692.0,1.65,26673.0,487.2,39.14396152
Bensonhurst,-73.99517998380729,40.61100890202044,4115.0,1.55,147456.0,338.0,45.87215727
Bergen Beach,-73.89855633630317,40.615149550453076,0.0,1.8,44086.0,259.4,56.01749025
Blissville,-73.93244235260178,40.73725071694497,0.0,1.65,475.0,482.5,45.00429793279204
Bloomfield,-74.18725638381567,40.60577868452358,195.0,1.45,39452.0,288.6,40.70122508817808
Boerum Hill,-73.98374824115798,40.68568291209144,13985.0,1.75,32672.0,474.7,50.75011294
Borough Park,-73.99049823044811,40.633130512758015,3653.0,1.65,103706.0,148.8,40.6505171
Breezy Point,-73.92551196994168,40.55740128845452,42.0,1.8,27365.0,235.8,56.81673993479753
Briarwood,-73.81174822458634,40.71093547252271,2339.0,1.3,38907.0,227.7,28.29774746
Brighton Beach,-73.96509448785335,40.57682506566604,1000.0,1.55,35396.0,451.5,63.495824
Broad Channel,-73.8200548911032,40.60302658351238,13.0,1.6,27365.0,205.2,33.73310854572638
Broadway Junction,-73.90331684852598,40.67786104769531,0.0,1.5,0.0,482.5,35.92693176428243
Bronxdale,-73.86172577555115,40.85272297633017,920.0,1.65,34923.0,482.5,31.653865771309352
Brooklyn Heights,-73.99378225496423,40.69586372272408,15627.0,1.8,22718.0,406.1,11.45091132
Brookville,-73.75175310731153,40.660003227336134,0.0,1.35,19541.0,482.5,32.24693354473721
Brownsville,-73.91023536176606,40.66394994339755,2230.0,1.5,58700.0,677.1,33.65494179475666
