,name,longitude,latitude,avg_test_score
82,Tudor City,-73.97121929,40.74691741,41.37158243899167
83,Ocean Parkway,-73.96836678,40.61305977,45.954182581949055
84,Prospect Heights,-73.96485924,40.67682226,39.76292040684097
85,Morningside Heights,-73.96389628,40.80799974,39.288701270829414
86,Sutton Place,-73.96355614,40.76028033,45.12340195695238
87,Prospect Park South,-73.96261317,40.6470086,42.571831111813374
88,Homecrest,-73.95918459,40.598525099999996,54.55433092754827
89,Lenox Hill,-73.95885969,40.76811266,48.86058639749224
90,North Side,-73.95880858,40.71482291,32.76172793784126
91,South Side,-73.95800095,40.71086147,31.2575922638701
92,Manhattan Terrace,-73.95743841,40.61443251,45.73749831926087
93,Manhattanville,-73.95738539,40.81693443,37.26660784270403
94,Hunters Point,-73.95386782,40.74341409,44.39557783622257
95,Carnegie Hill,-73.95325647,40.78268257,43.913827529338214
96,Roosevelt Island,-73.94916769,40.76215961,43.529046602459296
97,Madison,-73.94841515,40.6093777,46.354969298949186
98,Erasmus,-73.9481771,40.64692607,39.641474152966794
99,Yorkville,-73.94711784,40.77592985,43.01623943131409
100,Queensbridge,-73.94563070000001,40.756091299999994,43.380843390554475
101,East Williamsburg,-73.93885815,40.70849241,34.78641661465424
102,Wingate,-73.93718681,40.66094656,39.15339910556178
103,Blissville,-73.93244235,40.73725072,45.004297932792035
104,Ravenswood,-73.93157506,40.76170453,42.140460644281376
105,Weeksville,-73.93053109,40.67503987,35.51450251950312
106,Rugby,-73.92688213,40.65557231,36.53299912352997
107,Breezy Point,-73.92551197,40.55740129,56.81673993479754
108,Sunnyside Gardens,-73.91819286,40.74565181,43.3763383784325
109,Remsen Village,-73.91665332,40.65211745,37.94063571196731
110,Georgetown,-73.91607484,40.62384524,42.24268297961234
111,Concourse Village,-73.91584653,40.82478049,25.38094776774306
112,Concourse,-73.91558942,40.83428381,26.159374308800956
113,Port Morris,-73.91322139,40.80166363,25.35262515170784
114,Ocean Hill,-73.91306832,40.67840255,34.306507951008534
115,Riverdale,-73.91258546,40.89083449,33.013237589745465
116,Brownsville,-73.91023536,40.66394994,33.65494179475666
117,Melrose,-73.90942161,40.81975437,25.368404884034454
118,Mill Island,-73.90818572,40.60633642,48.6069421697347
119,Fieldston,-73.9056426,40.89543743,35.27592758719863
120,Broadway Junction,-73.90331685,40.67786105,35.92693176428243
121,Kingsbridge,-73.90281799,40.88168737,32.391833099974285
122,Paerdegat Basin,-73.90233474,40.63131755,44.11529898929031
123,Steinway,-73.90228959999999,40.77592302,37.47147618720491
124,Kingsbridge Heights,-73.90152265,40.87039239,30.788472787721155
125,Claremont Village,-73.90119903,40.83142834,28.22497635735606
126,Astoria Heights,-73.89467996,40.77031739,37.98657520874636
127,Roxbury,-73.8921376,40.56737589,52.70219021545648
128,Highland Park,-73.89034571,40.68199893,34.841900096486526
129,Bedford Park,-73.88551218,40.87018516,33.38601615879349
130,New Lots,-73.88511776,40.66274428,40.17060388499873
131,Hunts Point,-73.88331506,40.80972988,27.417622322476838
