name,longitude,latitude,uber_count,avg_price,adj_pop,median_daily_test_rate,avg_test_score,Median Sale Price - na has median
Dumbo,-73.98875281,40.70317633,10350,1.95,32672,406.1,27.74549013,1342500
Dyker Heights,-74.01931376,40.61921946,2060,1.65,40876,220.1,41.00778796,834000
East Elmhurst,-73.86704148,40.76407324,2942,1.3,22167,333.1,33.97468029,765000
East Flatbush,-73.93610256,40.64171777,5816,1.7,53194,638.4,27.38524605,535000
East Harlem,-73.94418223,40.79224947,22724,1.5,114985,940.5,26.57731268,790000
East New York,-73.88069864,40.6699257,4505,1.5,116101,917.9,39.58872701,316050
East Tremont,-73.88735618,40.84269616,1155,1.5,41352,482.5,31.66745653,50000
East Village,-73.98222617,40.72784678,75598,1.85,42941,578.3,31.95795124,1049500
East Williamsburg,-73.93885815,40.70849241,23267,1.75,33018,447.3,34.78641661,590000
Eastchester,-73.82780645,40.88755568,677,1.35,34969,482.5,32.59003604,335000
Edenwald,-73.84808272,40.8845613,0,1.55,34969,624.9,17.29767527,467000
Edgemere,-73.77613282,40.59564181,0,1.5,34264,444.4,13.97760809,590000
Edgewater Park,-73.81388514,40.82198612,1020,1.7,43940,482.5,48.57135255,590000
Egbertville,-74.12727241,40.57911874,0,1.85,0,482.5,43.85571541,590000
Elm Park,-74.14181679,40.63014674,0,1.5,28026,346.2,34.86650878,510668
Elmhurst,-73.88165622,40.74404851,7036,1.45,113129,228,44.59144604,450000
Eltingville,-74.1643308,40.54223075,11,1.8,27073,482.5,45.00784681,697500
Emerson Hill,-74.09776207,40.60679439,195,1.8,30738,482.5,45.79595027,590000
Erasmus,-73.9481771,40.64692607,2253,1.75,30665,482.5,39.64147415,590000
Far Rockaway,-73.75497968,40.60313443,130,1.65,49201,201.9,24.31889986,547500
Fieldston,-73.9056426,40.89543743,3070,1.75,27936,362.5,35.27592759,322500
Financial District,-74.01066545,40.70710711,42180,1.7,61000,1771.6,41.33584406,967500
Flatbush,-73.95840107,40.63632589,9858,1.85,108340,308.2,47.89652438,1337500
Flatiron,-73.99094711,40.73967305,42133,1.85,62995,443.7,44.55782469,590000
Flatlands,-73.92911303,40.63044604,3567,1.8,65744,498.4,29.01323645,600000
Floral Park,-73.70884706,40.74137842,0,1.5,22499,482.5,61.9801866,732500
Flushing,-73.831773,40.7644542,5072,1.8,130318,283.9,44.15309504,895000
Fordham,-73.89642656,40.8609968,625,1.4,82443,471.7,36.06601388,155000
Forest Hills,-73.84447501,40.72526378,8968,1.95,84387,286.2,49.99670295,429000
Forest Hills Gardens,-73.84102211,40.71461108,153,2,0,482.5,42.61464115,590000
Fort Greene,-73.97290574,40.68852726,15427,1.9,27208,284.6,19.31708757,890500
Fort Hamilton,-74.03197915,40.61476813,0,1.8,413,285.9,58.27374036,590000
Fox Hills,-74.08173992,40.61731079,0,1.6,21147,482.5,46.31693474,590000
Fresh Meadows,-73.78271337,40.73439447,916,1.7,17592,423.6,53.29459906,854000
Fulton Ferry,-73.99550752,40.70328109,0,1.9,3733,482.5,28.94636716,590000
Georgetown,-73.91607484,40.62384524,0,1.75,44086,482.5,42.24268298,552500
Gerritsen Beach,-73.93010171,40.59084843,0,1.65,64557,198.7,42.42000553,561000
Glen Oaks,-73.71548119,40.7494408,426,1.8,22499,482.5,55.8466255,330500
Glendale,-73.87074167,40.70276243,1982,1.65,31784,186.3,35.19932241,667000
Gowanus,-73.99444087,40.67393114,7860,1.85,67456,387.8,32.31307388,1199000
Gramercy,-73.98137595,40.73720983,47060,1.65,27086,775.3,46.69641331,597000
Graniteville,-74.15315246,40.62017151,0,1.55,29715,324.4,38.14393295,442500
Grant City,-74.10585599,40.57621559,0,1.85,14020,482.5,45.63843692,712000
Grasmere,-74.07667436,40.59826836,0,1.85,15659,482.5,46.9652139,661000
Gravesend,-73.97347088,40.59526001,883,1.5,29346,358.3,52.0519748,631337
Great Kills,-74.14932381,40.54948023,26,1.9,41200,264.9,44.98925508,547000
Greenpoint,-73.95424093,40.73020098,27573,1.8,36270,362.6,50.6395602,1147000
Greenridge,-74.17079415,40.55529524,0,1.8,1071,482.5,44.00606429,590000
Greenwich Village,-73.99991403,40.72693289,78811,1.6,22116,621,46.13090211,1165000
Grymes Hill,-74.0872482,40.62418479,113,1.6,21147,482.5,44.39987182,450000
Hamilton Heights,-73.94968792,40.82360428,7165,1.6,49538,425.8,30.15022935,590000
Hammels,-73.80553003,40.58733774,241,1.75,34264,482.5,28.81675898,590000
Heartland Village,-74.15902208,40.58913895,189,1.7,30738,482.5,42.53379394,356000
High  Bridge,-73.92610209,40.83662301,1505,1.7,35786,240.7,26.37857753,70000
Highland Park,-73.89034571,40.68199893,153,1.5,33028,482.5,34.8419001,590000
Hillcrest,-73.79760301,40.7238249,1976,1.5,32884,468.4,32.26366349,590000
Hollis,-73.75925009,40.71124344,398,1.55,20508,424.3,33.92673429,600000
Holliswood,-73.76714167,40.72095721,0,1.6,25770,424.3,37.64455313,830000
Homecrest,-73.95918459,40.5985251,3413,1.55,44998,388.9,54.55433093,293809
Howard Beach,-73.83813765,40.65422528,1226,1.9,27134,186.9,45.42924531,800000
Howland Hook,-74.18622332,40.63843284,0,1.55,3960,482.5,40.07778551,415000
Hudson Yards,-74.00011136,40.75665808,78364,2.05,62995,654.4,47.60392067,5504250
Huguenot,-74.19174106,40.53191192,0,1.75,27073,482.5,45.09405409,793750
Hunters Point,-73.95386782,40.74341409,16384,1.85,62610,482.5,44.39557784,860000
Hunts Point,-73.88331506,40.80972988,710,1.4,26173,432.3,27.41762232,590000
Inwood,-73.92121042,40.86768396,3692,1.6,47917,224.9,25.2809043,535000
Jackson Heights,-73.88282109,40.75198138,8235,1.55,110740,537.8,35.33661626,366277
Jamaica Center,-73.79690166,40.70465736,3624,1.4,52800,498.8,29.11381399,508000
Jamaica Estates,-73.78722697,40.71680483,1284,1.4,25770,250.2,31.76673957,250000
Jamaica Hills,-73.79646462,40.71145964,2339,1.45,38907,250.2,30.82265861,275000
Kensington,-73.98042111,40.64238196,2635,1.65,36914,244.6,35.92460008,550000
Kew Gardens,-73.82981906,40.70517904,2700,1.45,23583,275.5,42.05260991,334000
Kew Gardens Hills,-73.82087765,40.72257824,2053,1.6,36766,228.6,54.43792479,290000
Kingsbridge,-73.90281799,40.88168737,3379,1.85,30016,754.6,32.3918331,620000
Kingsbridge Heights,-73.90152265,40.87039239,869,1.6,32891,754.6,30.78847279,243611
Laurelton,-73.74025608,40.6678839,657,1.5,25414,287,34.10095304,510000
Lefrak City,-73.86252471,40.73607457,0,1.35,66740,482.5,36.53018215,590000
Lenox Hill,-73.95885969,40.76811266,61981,1.7,78702,1674.3,48.8605864,1150000
Lighthouse Hill,-74.13792664,40.57650629,0,1.9,30738,287.8,43.58944406,1200000
Lincoln Square,-73.98533777,40.77352889,60497,1.65,58364,1642.3,48.56638226,1040000
Lindenwood,-73.84963782,40.66391842,0,1.65,27134,186.9,41.4131813,300000
Little Italy,-73.99730467,40.71932379,47186,1.35,39749,364.3,66.23729582,1925000
Little Neck,-73.73889776,40.77082619,0,2,24548,634.7,64.42339066,285000
Long Island City,-73.93920224,40.75021735,21246,1.75,20567,794.9,21.45157138,590000
Longwood,-73.8957882,40.81509905,623,1.55,24639,482.5,26.79091786,200000
Lower East Side,-73.98089032,40.71780675,47749,1.55,72607,204.5,33.91562941,728000
Madison,-73.94841515,40.6093777,1824,1.55,38996,482.5,46.3549693,800000
Malba,-73.82667757,40.79060156,0,1.75,39407,482.5,46.18489796,905000
Manhattan Beach,-73.94353723,40.5779135,1128,1.95,64557,257,66.86757033,1360000
Manhattan Terrace,-73.95743841,40.61443251,0,1.8,52476,482.5,45.73749832,590000
Manhattan Valley,-73.96428618,40.79730704,11637,1.75,21105,508.6,30.25478273,800000
Manhattanville,-73.95738539,40.81693443,3545,1.9,23861,482.5,37.26660784,590000
Manor Heights,-74.120594,40.60180958,0,1.6,89792,482.5,42.69811158,560000
Marble Hill,-73.91065966,40.87655078,603,1.6,47917,282.9,22.04745344,590000
Marine Park,-73.93134404,40.60974778,2326,1.65,44086,259.4,56.68011417,656500
Mariner's Harbor,-74.15008537,40.63254639,89,1.55,29715,324.4,36.75803586,425000
