name,longitude,latitude,uber_count,avg_price
Hollis,-73.75925009335594,40.71124344191904,398.0,1.55
Holliswood,-73.7671416671473,40.7209572076444,0.0,1.6
Homecrest,-73.95918459428701,40.598525095137255,3413.0,1.55
Howard Beach,-73.83813764600279,40.65422527738487,1226.0,1.9
Howland Hook,-74.18622331749823,40.63843283794795,0.0,1.55
Hudson Yards,-74.00011136202637,40.75665808227519,78364.0,2.05
Huguenot,-74.19174105747814,40.53191192048961,0.0,1.75
Hunters Point,-73.95386782130745,40.743414090073536,16384.0,1.85
Hunts Point,-73.88331505955291,40.80972987938709,710.0,1.4
Inwood,-73.92121042203897,40.86768396449915,3692.0,1.6
Jackson Heights,-73.88282109164366,40.75198138007367,8235.0,1.55
Jamaica Center,-73.79690165888289,40.70465736068717,3624.0,1.4
Jamaica Estates,-73.7872269693666,40.71680483014613,1284.0,1.4
Jamaica Hills,-73.79646462081594,40.71145964370482,2339.0,1.45
Kensington,-73.98042110559473,40.64238195800353,2635.0,1.65
Kew Gardens,-73.82981905825703,40.705179035414794,2700.0,1.45
Kew Gardens Hills,-73.82087764933566,40.722578244228046,2053.0,1.6
Kingsbridge,-73.90281798724605,40.88168737120521,3379.0,1.85
Kingsbridge Heights,-73.90152264513144,40.870392391414704,869.0,1.6
Laurelton,-73.74025607989822,40.66788389660247,657.0,1.5
Lefrak City,-73.86252471413741,40.7360745708308,0.0,1.35
Lenox Hill,-73.9588596881376,40.76811265828733,61981.0,1.7
Lighthouse Hill,-74.13792663771568,40.57650629379489,0.0,1.9
Lincoln Square,-73.98533777001262,40.773528889421655,60497.0,1.65
Lindenwood,-73.84963782402441,40.66391841925139,0.0,1.65
Little Italy,-73.99730467208073,40.71932379395907,47186.0,1.35
Little Neck,-73.73889775580741,40.7708261928267,0.0,2.0
Long Island City,-73.93920223915505,40.75021734610528,21246.0,1.75
Longwood,-73.8957882009446,40.81509904545822,623.0,1.55
Lower East Side,-73.98089031999291,40.71780674892765,47749.0,1.55
Madison,-73.94841515328893,40.60937770113766,1824.0,1.55
Malba,-73.8266775713864,40.790601556701475,0.0,1.75
Manhattan Beach,-73.94353722891886,40.57791350308657,1128.0,1.95
Manhattan Terrace,-73.95743840559939,40.61443251335098,0.0,1.8
Manhattan Valley,-73.96428617740655,40.797307041702865,11637.0,1.75
Manhattanville,-73.9573853935188,40.81693442949779,3545.0,1.9
Manor Heights,-74.12059399718001,40.60180957631444,0.0,1.6
Marble Hill,-73.91065965862981,40.87655077879964,603.0,1.6
Marine Park,-73.93134404108497,40.60974777989461,2326.0,1.65
Mariner's Harbor,-74.15008537046981,40.63254639048112,89.0,1.55
Maspeth,-73.8962171362686,40.725427374093606,5098.0,1.45
Melrose,-73.90942160757436,40.819754370594936,2663.0,1.6
Middle Village,-73.88114319200605,40.71641451115819,2372.0,1.55
Midland Beach,-74.09348266303591,40.57352690574281,61.0,1.9
Midtown,-73.98166882730305,40.754691102706225,201832.0,1.75
Midtown South,-73.98871313285247,40.7485096643122,51954.0,1.75
Midwood,-73.95759523489838,40.62559589869843,3700.0,1.55
Mill Basin,-73.91515391550405,40.61597423962336,2141.0,1.75
Mill Island,-73.90818571777424,40.606336421685626,0.0,1.8
Morningside Heights,-73.96389627905332,40.807999738165826,9425.0,1.7
Morris Heights,-73.91967159119567,40.847897926062714,1300.0,1.4
Morris Park,-73.8504017803042,40.847549063536334,1636.0,1.5
Morrisania,-73.90150648943059,40.823591985855344,1269.0,1.65
Mott Haven,-73.91609987487574,40.80623874935177,2567.0,1.55
Mount Eden,-73.91655551964418,40.84382617671654,0.0,1.4
Mount Hope,-73.90829930881988,40.84884160724665,1300.0,1.5
Murray Hill,-73.97833207924127,40.748303077252174,59007.0,1.85
Neponsit,-73.85754672410826,40.572036730217015,0.0,1.75
New Brighton,-74.08701650516626,40.64061455913511,142.0,1.65
New Dorp,-74.1164794360638,40.57257231820632,61.0,1.75
New Dorp Beach,-74.10432707469124,40.56425549307336,0.0,1.85
New Lots,-73.88511776379292,40.66274427969661,0.0,1.35
New Springville,-74.16496031329827,40.594252379161695,0.0,1.7
Noho,-73.98843368023597,40.72325901885768,0.0,1.95
North Corona,-73.85751790676447,40.7540709990489,958.0,1.3
North Riverdale,-73.90453054908927,40.90854282950666,3070.0,1.6
North Side,-73.95880857587582,40.714822906532014,0.0,1.65
Norwood,-73.8793907395681,40.87722415599446,1561.0,1.3
Oakland Gardens,-73.75494976234332,40.74561857141855,783.0,1.8
Oakwood,-74.12156593771896,40.5584622432888,45.0,1.85
Ocean Hill,-73.91306831787395,40.67840255479536,2904.0,1.5
Ocean Parkway,-73.96836678035541,40.61305976667942,1464.0,1.5
Old Town,-74.08751118005578,40.59632891379513,0.0,1.85
Olinville,-73.86332361652777,40.87137078192371,1140.0,1.35
Ozone Park,-73.84320266173447,40.680708468265415,1216.0,1.5
Paerdegat Basin,-73.90233474295836,40.63131755039667,0.0,1.8
Park Hill,-74.08015734936295,40.60919044434558,0.0,1.8
Park Slope,-73.97705030183924,40.67232052268197,32463.0,1.9
Parkchester,-73.85600310535783,40.83793782226729,889.0,1.55
Pelham Bay,-73.8320737824047,40.85064140940335,697.0,1.7
Pelham Gardens,-73.84161194831223,40.86296562477997,860.0,1.7
Pelham Parkway,-73.85475564017999,40.857413498088654,1616.0,1.6
Pleasant Plains,-74.21983106616777,40.52469937611813,0.0,1.95
Pomonok,-73.80486120040538,40.73493618075478,1976.0,1.6
Port Ivory,-74.17464532993542,40.63968297845542,0.0,1.55
Port Morris,-73.91322139386133,40.80166362775621,2567.0,1.65
Port Richmond,-74.12943426797007,40.63366930554365,58.0,1.4
Prince's Bay,-74.20152556457658,40.526264067348116,11.0,1.8
Prospect Heights,-73.9648592426269,40.67682226225472,11125.0,1.7
Prospect Lefferts Gardens,-73.95489867077713,40.65842001746981,0.0,1.85
Prospect Park South,-73.96261316716048,40.647008603185185,0.0,1.85
Queens Village,-73.73871484578423,40.718893092167356,1275.0,1.35
Queensboro Hill,-73.82580915110559,40.7445723092867,1378.0,1.65
Queensbridge,-73.9456307033409,40.75609129709471,1188.0,1.75
Randall Manor,-74.09805062373887,40.63563000681151,0.0,1.55
Ravenswood,-73.93157506072878,40.761704526054146,1188.0,1.7
Red Hook,-74.01275897473559,40.67625323025089,5127.0,1.75
Rego Park,-73.85782686905371,40.728974094807356,2670.0,1.75
Remsen Village,-73.91665331978048,40.652117451793494,3105.0,1.6
Richmond Hill,-73.83183321446889,40.69794731471763,2601.0,1.7
Richmond Town,-74.1340572986257,40.56960594275505,0.0,1.85
